Gene,importance
APOC3,0.0008535868180356432
HLA-B,0.000845480801530137
APOA1,0.0007663447002841136
DEFA5,0.0006573390011491441
TAP1,0.0006560862568948953
MT1G,0.0006464318222042872
PGC,0.0006179521220854909
APOA4,0.0005898788214294398
PIGR,0.000582151425592153
AQP10,0.0005768387863571161
RPS16,0.0005666953733489077
HLA-H,0.0005602655512199199
APOB,0.0005454161676996606
IFI27,0.0005387997305681004
RARRES3,0.0005244435677799182
TSPAN8,0.0005112562356983523
CEACAM6,0.0004991379075698769
HLA-E,0.0004927352090658846
SPINK1,0.0004823559258642101
REG1A,0.00046799005700919624
B2M,0.0004556328491591196
ATP5B,0.0004420259377167334
RPLP2,0.00043786283185513454
TFF2,0.0004312957460844857
HIST1H4C,0.00040998448629096795
HLA-A,0.00040544202970207007
SI,0.000404620425888983
AKR1B10,0.000397079463327039
ALDOB,0.0003830305049718726
GSTA1,0.0003741305775384648
HLA-DMB,0.0003625660495340409
RPS11,0.00035988289887014976
MEP1A,0.0003497139507183319
HLA-F,0.00034471517666635016
CALM2,0.000337890477073371
HLA-DPA1,0.0003370001221904042
DEFA6,0.0003359090262069177
FTL,0.00033259404221038956
PSME2,0.00031910297198499155
SERPINE2,0.0003098598381967625
HCP5,0.00030708980258397446
HSP90B1,0.0003031348825369194
HSD17B2,0.00029827517900614533
CYBRD1,0.0002930439965912159
C6orf58,0.00028812160122219536
HLA-DRA,0.0002856581035024726
CDH17,0.0002775995496652655
XPNPEP2,0.00026281468454902044
JCHAIN,0.0002613440343845926
STAT1,0.0002602039469953866
TM4SF4,0.0002592741972347023
SLC25A5,0.00025746695259443875
SLC11A2,0.00025685412588568696
MYL6,0.0002558787090639473
HPGD,0.00025498380226435594
ADH1A,0.000252094315695262
CREB3L3,0.00025097921456500186
ACTB,0.00024881738288767374
PSMB10,0.00024768663717581694
HEBP1,0.00024710476805421224
REG3A,0.00024564772620815355
ADH4,0.0002437411017094278
SEPP1,0.00024283741148717054
DMBT1,0.0002342393533286725
MUC17,0.0002326720048205185
RPS19,0.00023204615149698937
OAT,0.00022903702477170392
TM4SF5,0.00022810498579853235
MGST3,0.0002240107234637809
SLC5A1,0.000222633241162696
S100G,0.0002212616926365098
EZR,0.00022040331909877042
TXNIP,0.00022002716168150824
MT1F,0.00021912261496118493
CCL25,0.00021803651136955885
S100A6,0.00021743887225939527
H2AFZ,0.0002161319527534498
CD74,0.00021591259417465646
ANXA10,0.0002151223688519704
FBP1,0.00021469556994894583
COX8A,0.00021364983594397756
TUBA1B,0.00021267317253083614
SLC26A3,0.00021166034914299852
MT1A,0.00021130683364896342
ACTG2,0.00021018014304690383
TMSB10,0.0002089352497488914
RPS4Y1,0.00020752461004033598
MS4A10,0.0002047462506936025
TMEM59,0.00020349388266148065
FGL2,0.00020100294345502158
CCL5,0.0002002729154873622
CYSTM1,0.00019529302725244892
ATP5A1,0.00019516281366148365
CAMK2N1,0.00019406833360646994
ACTA2,0.00019367214502525695
TST,0.00019140787133048014
OLFM4,0.00019034658543612616
ARHGDIB,0.0001898856456971689
ADA,0.00018980551996274417
AADAC,0.00018842370845032904
AOC1,0.0001883521858012006
GLRX,0.0001881436060639192
RPL18A,0.00018343436126669004
MT1E,0.00018341498355598572
C19orf33,0.00018332318339502138
PRAP1,0.00018151937341368387
SLC2A5,0.00017904064319673496
HSPB1,0.0001783788766546089
MEP1B,0.000177835624711065
DDT,0.00017729448558565533
LAP3,0.00017717813428561537
KRT20,0.0001771519877627652
GBP2,0.0001766928641137349
RAB17,0.00017658880393923868
EPSTI1,0.00017628241789347744
GZMA,0.0001751523532876357
TMSB4X,0.00017425521833273953
TFF3,0.0001716545132671056
LIPA,0.00017009615212121158
SLC39A5,0.00016975391136502584
DHRS7,0.00016935372595217448
NUCB1,0.00016869317680163112
HSPA1B,0.00016624394302212727
LCT,0.0001660839681289534
GPA33,0.00016391428260688695
ARL14,0.00016103675628353477
C1orf115,0.000158724777554172
RPLP1,0.00015794146164992975
IL32,0.00015677126495159717
ADAMDEC1,0.00015601184801425336
SGK1,0.00015580765082626148
UQCRFS1,0.00015578158445467952
NDUFB8,0.00015574972174784823
MTTP,0.0001545150841761129
SNAR-A1,0.00015437105012392066
RPL11,0.00015396341402780026
SLC9A1,0.00015313913896100535
FCGBP,0.00015291000775597617
HLA-DMA,0.00015236468879820052
SAT1,0.0001522142459538961
CPS1,0.0001513369369066116
LASP1,0.00015132232538959904
PGRMC1,0.00015038662561760416
IGLL1,0.0001492314237696797
VAMP8,0.000149058399151437
TXN,0.0001472760096529302
EPN1,0.00014696975680451578
PRSS8,0.00014637943015136486
SUSD2,0.00014619925954582164
SLC35G1,0.00014568928247029456
GMDS,0.00014548716392944966
RHOC,0.0001441825566746255
SUCLG2,0.0001439839091432714
SULT2A1,0.00014369456205099292
CYP3A4,0.00014316266608909882
RPSAP9,0.00014301896725272783
P4HB,0.00014098937702666518
SOD1,0.00014084310759106052
SPINT2,0.00014070058389681158
AGR2,0.00014038304783091276
GBP1,0.00014026189054177615
SEC61B,0.00013990593012136132
JUND,0.00013910066487140115
IRF1,0.00013755498538722092
TMEM256,0.00013674518302377885
GBP4,0.0001364796216826409
POTEF,0.00013555247201653688
UQCRHL,0.00013518904181865728
EIF4A2,0.0001347812610502695
CYC1,0.0001343488945156066
UBD,0.00013429139761600417
SQSTM1,0.00013397445316277114
DAZAP2,0.0001322395313654544
ANXA2P2,0.00013196445775918444
SSR4,0.0001316332126224914
RPS28,0.0001312668548049712
ATP5O,0.0001312562885271375
COX4I1,0.0001310695839592348
PSME1,0.00013098423859809197
HSP90AA1,0.0001305869442453444
UQCRQ,0.0001305337644338442
TM4SF20,0.00013021476729872098
EPCAM,0.00012897728992218832
ENO1,0.00012779836255044354
CDKN1A,0.00012662873528714426
RPS12,0.00012659041506229749
SNRPG,0.0001254687457712975
FAM213A,0.00012524159387158307
CNDP2,0.00012325740665814657
UBC,0.00012251527286771382
ATP1A1,0.0001221694569199138
CHCHD2,0.00012045555765287425
RPS15,0.00012038091086355008
HSD17B4,0.00012029325839717293
DFNA5,0.00011950231156903959
RPS10,0.00011948054079954217
PPP1CC,0.00011818428996310427
GSTP1,0.00011813860259389483
GLTSCR2,0.00011731731928852864
PSMA5,0.00011697721033469485
MYO1A,0.0001168283293522451
MAOA,0.00011516580645293346
CALM3,0.00011475019995943474
COX5A,0.00011438410946759148
PRR13,0.0001141293442774143
NQO1,0.00011401180071770825
SLC25A23,0.00011394013133575448
OTC,0.00011367291300367237
CTSE,0.00011244699459032592
PLIN2,0.00011234441559596643
IRF9,0.00011156268508819913
DHRS1,0.00011076181961004893
OAZ1,0.00011009221545618789
SMPDL3A,0.00011004631036364122
RPS3,0.00010880707667301594
PSMA4,0.00010868051978691969
COX7A2,0.00010860992477951439
ABCC3,0.00010847629756401688
HLA-DRB4,0.00010813653688172832
CPD,0.00010813316303976718
CHP2,0.00010785555188174135
GPX4,0.00010721125994661966
MTCH1,0.00010671639916230561
DHDH,0.00010656407539866042
RAC2,0.0001065281220155698
NCOA4,0.00010626778444489822
PRDX5,0.00010624325953513507
DNASE1,0.00010594135948849082
SAT2,0.0001047898193574888
MST1,0.00010478765696995794
ATP5F1,0.00010396508680957449
VPS35,0.0001039139796440438
SLC4A7,0.00010357630490484157
CDHR2,0.00010345825894969232
ATP5J2,0.00010321057637069456
LOC644936,0.00010300254544645337
VNN1,0.00010271014774805894
ACAT1,0.00010259243131211199
GHITM,0.00010242430530830824
ATP6V0A1,0.00010150346794646465
CDC42EP5,0.00010100529596270504
ATP5G1,0.0001008712546949427
TMEM258,0.0001007265754040337
PTTG1IP,9.981233985283614e-05
SLC40A1,9.932234872711642e-05
RPS18,9.89444011512381e-05
FH,9.892942979410904e-05
NDUFA4,9.794437655101248e-05
TFF1,9.741602449339932e-05
AK3,9.740568530727744e-05
ADIRF,9.704271167506355e-05
FASN,9.66617383312157e-05
HSPA8,9.653356406333762e-05
MT2A,9.630343446161868e-05
SLC16A3,9.60735856883586e-05
HMGCS1,9.547412532744218e-05
MPC1,9.545504077864165e-05
GSTK1,9.537195828548286e-05
NDUFAB1,9.490455852572473e-05
ECHDC2,9.488750392172988e-05
YWHAH,9.4853253842927e-05
CDX1,9.480444289750969e-05
PARK7,9.426782177195899e-05
ALDOC,9.415829395465264e-05
AKR1B15,9.391031506920586e-05
SDF2L1,9.287972496136701e-05
MT1H,9.282250649931924e-05
ADH1C,9.265701860642134e-05
RPN1,9.20650295253922e-05
ZG16,9.192397340531011e-05
TUBA1A,9.175812547741227e-05
BTG1,9.161859197516775e-05
CDC20,9.160859205849727e-05
WBP2,9.160026957700325e-05
MANF,9.124035044836382e-05
PSMB6,9.115587042993091e-05
AURKAIP1,9.095527102885589e-05
CNN3,9.088732785419934e-05
NDUFA9,9.083929356507718e-05
RPS13,9.082818536956955e-05
RPL6,9.07002961749065e-05
GNB1,9.05301527538541e-05
TMED2,9.038348673087956e-05
EIF3K,9.038116515916128e-05
ANXA13,9.033613590815137e-05
GALC,8.939308071068822e-05
CCND3,8.915971243383353e-05
NT5C3A,8.910758826934862e-05
CKMT1A,8.906039624251553e-05
SLC10A2,8.861264251537311e-05
VKORC1,8.846313325466506e-05
REG1B,8.834749985538077e-05
SLC7A9,8.813869025355616e-05
RPS27A,8.786287716285782e-05
LAPTM4B,8.724924375108524e-05
SLC44A4,8.712211417708701e-05
LCP1,8.706955805741423e-05
CMBL,8.636160896209994e-05
EVL,8.6191420662959e-05
PLOD2,8.610245193066009e-05
MS4A8,8.597926395902251e-05
HIST1H1C,8.588566704709246e-05
YBX1,8.587052373121202e-05
GSTA2,8.570267910991158e-05
SHBG,8.56274975390911e-05
MTMR11,8.53130187668599e-05
RPL38,8.475725150646929e-05
NOL7,8.45268945003623e-05
ZNF674,8.421267244210138e-05
RNASET2,8.408413808743263e-05
PSMB3,8.342304418713993e-05
NBL1,8.32107609883987e-05
HDAC1,8.280853160031377e-05
RAB40C,8.258162340351886e-05
SC5D,8.256542014494422e-05
IFNGR2,8.255507657424587e-05
NR1H3,8.231849992889297e-05
SEPT9,8.19291630059181e-05
FAM120A,8.180515949311717e-05
HTATIP2,8.16650639186393e-05
EFNA1,8.157540388127053e-05
RPL13AP20,8.149073020672497e-05
ITPR3,8.142852397138174e-05
PDCD7,8.129803900496036e-05
GSTM2,8.112869253520744e-05
SOWAHA,8.089342432191486e-05
ARPC5,8.084878159814476e-05
HLA-DRB1,8.077628109993927e-05
PFN1,8.073095085196327e-05
RPL10A,8.065182129454183e-05
GOT1,8.057103099664897e-05
F2R,8.043198325808251e-05
UGT2A3,8.038615132473023e-05
NDUFA1,8.029606510756825e-05
SUCLG1,7.993267311242217e-05
IFNGR1,7.975306363118486e-05
PPA1,7.974935141180146e-05
GSDMB,7.957987926491725e-05
MDH2,7.957136261682496e-05
GNS,7.938259617954827e-05
RRM1,7.906156944096432e-05
RPL41,7.89006797679405e-05
GLRX5,7.885057152624325e-05
TMBIM4,7.850368624073368e-05
HLA-G,7.84361235208554e-05
RPS4X,7.836231616185668e-05
NAT8B,7.819199935451766e-05
MME,7.81549506487354e-05
UQCRC2,7.79180503676216e-05
CAP1,7.759801096312366e-05
FDFT1,7.754445931660655e-05
SRSF2,7.750175332813063e-05
SLC25A6,7.740395982979381e-05
AKR1C3,7.694053778634866e-05
CCND2,7.691464791705386e-05
PON2,7.678891389522523e-05
CISD1,7.665562156267406e-05
REG4,7.6417039314671e-05
LAMP1,7.630895658647082e-05
PNPO,7.616895128230962e-05
MAPKAPK3,7.607775054653785e-05
RACK1,7.597170765723192e-05
PDXK,7.583611115067063e-05
NDFIP2,7.561078788014734e-05
RPL13AP3,7.558137330654573e-05
NPC2,7.557345696447459e-05
CIRBP,7.550516605513682e-05
PTPRF,7.550398494970183e-05
ALPI,7.54770698357938e-05
ISG20,7.525479953467204e-05
RHPN2,7.511560373896773e-05
ATP5J,7.462077444480005e-05
STOM,7.439100834369528e-05
TNFRSF21,7.433650817780295e-05
HLA-DRB3,7.426059357040809e-05
CRYL1,7.400837281902405e-05
PSMB9,7.395960648113964e-05
NPC1L1,7.392098623457942e-05
ETFDH,7.389515270850674e-05
ARPC1A,7.37674229512664e-05
RPS6,7.373882459774597e-05
LMBRD1,7.373272229687882e-05
PDLIM1,7.317036806821795e-05
XBP1,7.301244115654149e-05
SULT1A1,7.299666917349794e-05
C2orf88,7.293584262871652e-05
RNF186,7.27866031736246e-05
DUSP3,7.239106462238523e-05
CRIP1,7.219288328588969e-05
TPRG1L,7.210389196930894e-05
PRR15L,7.200543527322676e-05
HLA-DRB5,7.185673998535196e-05
AP3B1,7.170640522334583e-05
DNMT1,7.148389648641597e-05
COX5B,7.137412505424619e-05
SLC7A5P2,7.128111085228855e-05
TCN1,7.078050399847625e-05
CXCL10,7.075353029475583e-05
EHD1,7.038935795809133e-05
RPL3,7.034366605343071e-05
DNAJB11,7.008541976334292e-05
LITAF,6.998174686516216e-05
CYB5A,6.988307611210751e-05
ATP5EP2,6.959974358101734e-05
CD36,6.953020869750758e-05
COL17A1,6.91199337877981e-05
IQGAP2,6.905136446789387e-05
ABHD17C,6.902518999018371e-05
ROMO1,6.875971833138667e-05
GUCA2A,6.874263359036286e-05
TYMP,6.862375710706024e-05
HSPD1,6.858550289366994e-05
XDH,6.837221980052541e-05
CHGA,6.81409735164198e-05
SDHB,6.813259121309419e-05
PTGR1,6.808971044286272e-05
CASP1,6.80412276945049e-05
TSPAN3,6.789679682055136e-05
ATP5H,6.778305923468001e-05
ACTR2,6.770690529984281e-05
VDAC3,6.769569529674846e-05
KDELR2,6.752665037682537e-05
JTB,6.748192908219682e-05
PCCB,6.745694731522764e-05
GCNT1,6.729246104194347e-05
PP7080,6.728654291297024e-05
CAPN5,6.725609951343931e-05
FAM3C,6.719114458314628e-05
HLA-DQB1,6.714327876370281e-05
UBB,6.713896543727988e-05
XPNPEP1,6.706380815352743e-05
PNCK,6.699830599595511e-05
SMIM24,6.688441438436689e-05
RPS3A,6.684776716327657e-05
BIRC3,6.681434537118807e-05
EIF3L,6.679547962512082e-05
DBI,6.67308065951353e-05
MLEC,6.615248039412837e-05
FLNB,6.608362353391762e-05
NDUFS5,6.607929830779635e-05
HPCAL1,6.593413817592485e-05
NDUFS4,6.578797244332312e-05
UBE2L6,6.574489475430906e-05
NDUFS7,6.570348647908274e-05
IFI6,6.5598162135158e-05
TMEM141,6.552765588475886e-05
COX7B,6.54089076745597e-05
SPCS1,6.528919625938109e-05
DDC,6.528814349547488e-05
UBA52,6.527783623824876e-05
LGALS4,6.502318713161834e-05
IGFBP4,6.499149109316275e-05
PFKFB4,6.477269691774291e-05
RPL39,6.473269145555937e-05
NDUFB3,6.457142710304145e-05
TSPAN13,6.439770452595687e-05
GCNT3,6.434867053389601e-05
HSPA9,6.430963215413119e-05
YWHAZ,6.43060893964745e-05
PSMB2,6.415034886204285e-05
MIF,6.406633211541982e-05
SNX4,6.404091936580263e-05
NDUFS3,6.397396757573381e-05
NDRG1,6.376435415468474e-05
GALK1,6.367720021344441e-05
NACA,6.36650438404476e-05
TM9SF3,6.366366858613268e-05
PTMA,6.353180905083292e-05
COX6A1,6.341795143958657e-05
LYN,6.341118510662848e-05
ECHS1,6.340400637414338e-05
ATP6V1B2,6.336769833887527e-05
ORC6,6.315065503128636e-05
ANP32B,6.307708002398987e-05
DSG2,6.306110924409646e-05
SLC37A4,6.294061820650146e-05
RPL23,6.282321931473585e-05
CGN,6.275888126802154e-05
RETSAT,6.26484594486814e-05
INPP1,6.256806884486095e-05
ACADM,6.248972019054715e-05
GSTA5,6.248811498813066e-05
TGOLN2,6.207852544400025e-05
HMGN4,6.204212478294555e-05
CA2,6.195254634793246e-05
ACO1,6.17695267090683e-05
CKS2,6.175675002841983e-05
ALDH18A1,6.1751889945317e-05
NDUFB5,6.15424517398734e-05
KPNB1,6.148824911019823e-05
TMEM200A,6.143045899479503e-05
IFITM3,6.140954520537445e-05
PLEKHS1,6.128802509744134e-05
LDLR,6.121089734968461e-05
CLDN23,6.118583351669032e-05
COX6C,6.107983549848157e-05
RPL22,6.101822240137165e-05
HSPA1A,6.094950017052323e-05
PSAP,6.076148079618848e-05
CRELD2,6.074223524061263e-05
