Gene,importance
FAM83D,0.012132737530561198
E2F5,0.010935866803440383
PCBP4,0.009261842653960212
LOC100419583,0.009107626719174545
EZH2,0.00883245514164919
IRF1,0.008715944643270057
RFX5,0.008627450980392156
ABTB1,0.008440765217391306
TAP1,0.008156734693877551
IFNG,0.008
ITGAL,0.007668965517241379
NUP107,0.007650148544266191
CD8A,0.007377036756347102
SIRPA,0.007337622216862802
UBE2L6,0.007292351467648434
HCP5,0.007280750137892995
SLC29A2,0.007201371428571429
SLC46A1,0.0068148367000540905
KLRD1,0.006621860682561945
FANCG,0.006600913475611678
BATF,0.006492342080707898
LAMA1,0.006441683919944789
NCALD,0.006
AOC1,0.005982107831714641
CEP78,0.00584
VRK1,0.005836734693877551
AVP,0.00581455986006071
UBD,0.005667956989247312
IL18BP,0.005614621087724537
KNTC1,0.005527776571254832
RAD54L,0.005524193946982553
RAC2,0.0055102238354506955
KIF4A,0.005494916512059369
GBP4,0.005395555555555555
C2,0.0053668237691001704
PLK4,0.005359355518623253
AKNA,0.005247700153609831
SH3KBP1,0.005204845025138817
CYP1A1,0.005178151260504201
PSME1,0.004938062397372742
IDS,0.0048909969257795345
CD86,0.004748575266733835
SLC1A4,0.0046605715600023
CYFIP2,0.004581818181818182
PRKCSH,0.004397165053836718
CIITA,0.004184520123839009
SIRPG,0.004134173836547886
PRR15,0.004
INTS10,0.003996003996003996
ZBP1,0.0038938646355526152
GLIPR2,0.003839464882943144
SPNS2,0.003839464882943144
CD3D,0.0038383838383838384
TARP,0.00383448275862069
GBP5,0.0038315789473684215
AURKA,0.003698749177090191
PSMB8,0.0036923076923076927
FAM129A,0.003688311688311688
ARHGDIB,0.0036761995768206947
TGM2,0.0036663408276311504
WARS,0.003666061705989111
DIRC2,0.0036566911349520045
RIPK2,0.003646247464503043
EPSTI1,0.003556923076923077
BATF2,0.0035323076923076922
UPK3B,0.0035323076923076922
SAPCD2,0.0035275559499161986
FBXO2,0.0035247290640394086
CDHR2,0.0035172902494331063
KIF11,0.003509003074220466
CARD16,0.0035035294117647057
TMEM268,0.0035011494252873564
GPRC5C,0.003474285714285714
