Gene,importance
HLA-B,4.627018575570576e-05
DEFA5,4.367589821881448e-05
APOC3,4.2035890567887366e-05
PGC,4.0289841968561434e-05
MT1G,4.003643124435573e-05
HLA-H,3.7554407145401906e-05
TAP1,3.7303084125104904e-05
RPS16,3.6522568639819416e-05
PIGR,3.5770762819998565e-05
AQP10,3.3850964859456915e-05
APOA1,3.354251939020993e-05
CEACAM6,3.295331140838506e-05
IFI27,3.217494319114518e-05
TSPAN8,3.1706584469980536e-05
APOA4,3.1524327696125936e-05
HLA-E,3.094869310869917e-05
RARRES3,3.056692427504416e-05
APOB,3.037473132003764e-05
SPINK1,2.95099993442008e-05
RPLP2,2.875674133788653e-05
TFF2,2.7583191357986772e-05
HLA-A,2.6318908555392116e-05
AKR1B10,2.631483831125783e-05
REG1A,2.6267811464664517e-05
B2M,2.5759069763707982e-05
ATP5B,2.5110059696907724e-05
SLC25A5,2.4460023583989694e-05
SI,2.422141464208098e-05
HIST1H4C,2.4022108681039023e-05
DEFA6,2.3953388977909045e-05
GSTA1,2.3326816753344275e-05
HLA-F,2.327402962570967e-05
RPS11,2.321846999831287e-05
SERPINE2,2.177315548220397e-05
FTL,2.174273401468571e-05
HLA-DMB,2.1543806036950516e-05
CALM2,2.1365027177499745e-05
ALDOB,2.0382015600105676e-05
HLA-DPA1,1.9930215777587927e-05
MEP1A,1.936529948606505e-05
CDH17,1.890640052852479e-05
HCP5,1.8708775158064874e-05
PSME2,1.857781605659999e-05
ADH1A,1.8169654862109104e-05
XPNPEP2,1.7671209858830255e-05
C6orf58,1.717126048770386e-05
MYL6,1.705890072443932e-05
RPS4Y1,1.667459454857309e-05
HSP90B1,1.666624269213412e-05
HEBP1,1.663343316612471e-05
CYBRD1,1.658970175286745e-05
HLA-DRA,1.6530077613607347e-05
MUC17,1.6473225646694017e-05
HSD17B2,1.642804931955473e-05
ACTG2,1.626856373353064e-05
CREB3L3,1.6242562623679316e-05
HPGD,1.5732608341428167e-05
MGST3,1.5554199852076986e-05
SNAR-A1,1.5414570836671475e-05
SEPP1,1.5099781106422192e-05
EZR,1.4471572855073683e-05
MT1F,1.4411988141549233e-05
S100A6,1.4323843803593807e-05
STAT1,1.4232942472892833e-05
LIPA,1.4136345107375333e-05
TXNIP,1.4113266639750996e-05
COX8A,1.364929777176545e-05
OAT,1.3624337350298128e-05
ACTA2,1.3496973729194021e-05
ACTB,1.3408058089950455e-05
AADAC,1.3320964662092424e-05
S100G,1.3240980733681339e-05
ANXA10,1.2731877718303133e-05
REG3A,1.2636730193454942e-05
NUCB1,1.2481739865228971e-05
HSPA1B,1.2362795863012152e-05
TMEM59,1.2202895391960757e-05
JCHAIN,1.2163304065856202e-05
FBP1,1.2014170274699228e-05
CD74,1.1928660009263871e-05
TMSB10,1.1881111365862602e-05
CCL5,1.1828924221517344e-05
H2AFZ,1.1777284566863391e-05
PSMB10,1.168781503978799e-05
SAT1,1.1676300391775944e-05
RPL11,1.1630163231950379e-05
RPS19,1.1556429730314075e-05
FGL2,1.1516188658572059e-05
DDT,1.150614849616953e-05
AOC1,1.1456693682205893e-05
MT1A,1.1384662953783228e-05
OLFM4,1.1379539738954843e-05
TST,1.1333307513037293e-05
GLRX,1.1308784779281135e-05
C19orf33,1.1262954733345687e-05
GZMA,1.1184235095644697e-05
SLC5A1,1.1126501990183062e-05
MT1E,1.1091489241766189e-05
LASP1,1.098307462151809e-05
CAMK2N1,1.0959372524962417e-05
ATP5A1,1.0788081162203913e-05
DMBT1,1.0716161479080955e-05
ADAMDEC1,1.0674089413372219e-05
SLC2A5,1.0619463377225175e-05
IL32,1.0599721927550665e-05
PRAP1,1.0564398795980731e-05
RAB17,1.0521305022513284e-05
NDUFB8,1.049860741282247e-05
DAZAP2,1.048966680040914e-05
SLC39A5,1.0418782580310417e-05
MAOA,1.0252604187439963e-05
NAT8B,1.0250286574082573e-05
ANXA2P2,1.021845935243554e-05
SLC35G1,1.0181996002925155e-05
C1orf115,1.0104449491440739e-05
EPN1,1.0103271063535382e-05
GBP2,1.0078137251664785e-05
LAP3,1.0063204129967253e-05
SGK1,1.0014527157639114e-05
PRSS8,1.0006736781076308e-05
KRT20,9.951050895418954e-06
CYSTM1,9.830421456102933e-06
TUBA1B,9.828605723014533e-06
ARHGDIB,9.767829487153111e-06
SQSTM1,9.679026198307861e-06
ARL14,9.50608775062775e-06
PGRMC1,9.48747974091633e-06
GSTP1,9.466246749854873e-06
AKR1C3,9.46277241490973e-06
CCL25,9.443481973765414e-06
SUSD2,9.381335730953167e-06
DHRS7,9.346241542412248e-06
HSPB1,9.317789993429588e-06
SUCLG2,9.270605213985896e-06
SULT2A1,9.254685464232026e-06
RPLP1,9.253458726975628e-06
GLTSCR2,9.190061670149551e-06
EPCAM,9.141125325128447e-06
SPINT2,9.122283161068181e-06
SLC9A1,9.0193071893779e-06
MEP1B,8.99044424817514e-06
ADH4,8.950837800664077e-06
TXN,8.84227467527898e-06
P4HB,8.798381469956553e-06
ADA,8.78868964022643e-06
EPSTI1,8.747776195497497e-06
VAMP8,8.728800951309146e-06
RHOC,8.544957605600574e-06
TMEM256,8.483135912179933e-06
PRR13,8.366902295684438e-06
CYC1,8.317533840732877e-06
OAZ1,8.310768643992366e-06
UQCRFS1,8.285978737569212e-06
POTEF,8.261757734518676e-06
CRIP1,8.261173148017225e-06
JUND,8.247385243049239e-06
TMSB4X,8.241096891183847e-06
MYO1A,8.12240821720282e-06
TM4SF5,8.121483487683131e-06
ATP1A1,8.104651615385238e-06
RPSAP9,8.058794516554778e-06
GBP1,8.055447814678624e-06
GNS,8.02615178558969e-06
CPS1,8.015586003838679e-06
