names,scores,logfoldchanges,pvals,pvals_adj
ILMN_1765258,16.02972,4.084062,1.002737505556589e-19,4.743650317536555e-15
ILMN_1751079,15.862467,7.167754,1.9107579836093154e-18,3.0130742643535295e-14
ILMN_1803945,14.970321,3.6540592,1.6186822222536341e-18,3.0130742643535295e-14
ILMN_1691364,14.04811,5.7802076,1.0758391484901228e-17,1.2723680649405559e-13
ILMN_1690105,13.59882,3.091082,4.864254354935943e-16,4.602265615379094e-12
ILMN_1845037,12.048618,1.7746985,3.084081069284532e-15,2.0842660449234766e-11
ILMN_1777325,11.856185,3.632278,1.891085408245546e-15,1.491026290131201e-11
ILMN_2390299,11.745843,2.2186491,1.3810973686967684e-13,5.939597565539821e-10
ILMN_1747195,11.734658,1.5599958,1.1445031711578554e-14,6.767876439745583e-11
ILMN_2148785,11.552156,3.4006653,1.2489588220682173e-12,3.40191223267858e-09
ILMN_1741200,10.80503,1.1732303,1.2213795580259134e-13,5.777980275153188e-10
ILMN_1709484,10.756239,3.9585886,3.8104146679746575e-14,2.0028809633097458e-10
ILMN_1701114,10.670157,3.412536,2.3029987983509466e-11,3.404623879799632e-08
ILMN_1813544,10.59033,2.1025596,2.656528379667078e-13,9.925477539163254e-10
ILMN_1769520,10.347249,3.049617,3.1403945251583487e-13,1.0611617414404715e-09
ILMN_1731224,10.318174,1.8726723,2.7275288648428837e-13,9.925477539163254e-10
ILMN_1708375,10.267383,2.247483,7.959442210358952e-13,2.5102488843030064e-09
ILMN_1802708,9.849689,1.3878366,2.5096256492593304e-12,5.936143029475557e-09
ILMN_1782487,9.823159,2.2092369,7.680985632553373e-12,1.5140182804966767e-08
ILMN_1806017,9.772892,3.3373787,1.6507655212114198e-12,4.110145500628876e-09
ILMN_1771385,9.621227,3.750356,2.3072339571175413e-10,1.7054424501462425e-07
ILMN_1701613,9.611368,5.932479,6.723706261949745e-12,1.3829494440611157e-08
ILMN_3265365,9.511009,1.4271343,4.758231483959214e-12,1.0231711673257207e-08
ILMN_2376108,9.485204,2.1552033,1.1056575103712366e-11,2.011743840120465e-08
ILMN_2058782,9.444886,7.272609,2.8296127234453133e-12,6.374309005144163e-09
ILMN_1683792,9.288121,3.2294695,1.187434456986029e-10,1.1002040539834555e-07
ILMN_1815924,9.203509,0.73872405,2.890642277036323e-11,4.068080015257486e-08
ILMN_2198376,9.162863,1.9978272,1.1609341822528823e-11,2.034085679993967e-08
ILMN_2224143,9.156679,1.3368683,1.9340106457225264e-11,2.9513626328127602e-08
ILMN_1784467,9.13631,1.9505132,1.4657894782041913e-11,2.4765036730502028e-08
ILMN_1690420,9.086564,1.7530673,1.2249918632623318e-10,1.1002040539834555e-07
ILMN_2388547,9.071566,3.0922456,8.211823169113069e-12,1.5539068746449277e-08
ILMN_1708105,9.033514,1.231507,6.471853013146197e-11,7.289617868878741e-08
ILMN_1717207,9.022044,2.3601956,1.2924780026312148e-09,6.053787808957909e-07
ILMN_1800958,8.978582,1.8012826,2.9237685864407917e-11,4.068080015257486e-08
