Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	7/121	7.909699e-11	4.152592e-08	0	0	7.174097e+01	1.668720e+03	STAT1;IRF1;CCL5;HLA-B;IRF9;GBP4;HLA-E
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	5/65	1.255824e-08	2.075210e-06	0	0	8.735088e+01	1.589165e+03	STAT1;IRF1;HLA-B;IRF9;HLA-E
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	5/65	1.255824e-08	2.075210e-06	0	0	8.735088e+01	1.589165e+03	STAT1;IRF1;HLA-B;IRF9;HLA-E
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	5/68	1.581112e-08	2.075210e-06	0	0	8.317878e+01	1.494103e+03	STAT1;IRF1;HLA-B;IRF9;HLA-E
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	8/621	3.911990e-07	4.107590e-05	0	0	1.579364e+01	2.330201e+02	STAT1;IRF1;CCL5;HLA-B;PSME1;IRF9;HLA-E;HSP90B1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	4/73	1.641953e-06	1.436709e-04	0	0	5.770145e+01	7.685616e+02	HLA-B;PSME1;TAP1;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	4/78	2.143242e-06	1.607432e-04	0	0	5.378919e+01	7.021205e+02	HLA-B;PSME1;TAP1;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	3/33	8.089444e-06	5.308697e-04	0	0	9.498095e+01	1.113647e+03	HLA-B;TAP1;HLA-E
GO_Biological_Process_2021	protection from natural killer cell mediated cytotoxicity (GO:0042270)	2/6	2.063923e-05	1.203955e-03	0	0	4.539091e+02	4.896915e+03	HLA-B;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	2/7	2.887383e-05	1.378069e-03	0	0	3.631091e+02	3.795425e+03	HLA-B;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	2/7	2.887383e-05	1.378069e-03	0	0	3.631091e+02	3.795425e+03	HLA-B;HLA-E
