Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Antigen processing and presentation	4/78	2.143242e-06	1.599942e-04	0	0	5.378919e+01	7.021205e+02	HLA-B;PSME1;TAP1;HLA-E
KEGG_2021_Human	Epstein-Barr virus infection	5/202	3.636232e-06	1.599942e-04	0	0	2.642132e+01	3.309155e+02	STAT1;HLA-B;TAP1;IRF9;HLA-E
KEGG_2021_Human	Herpes simplex virus 1 infection	6/498	2.124944e-05	6.233169e-04	0	0	1.320054e+01	1.420270e+02	STAT1;CCL5;HLA-B;TAP1;IRF9;HLA-E
KEGG_2021_Human	Human papillomavirus infection	5/331	3.952929e-05	8.696443e-04	0	0	1.586212e+01	1.608177e+02	STAT1;IRF1;HLA-B;IRF9;HLA-E
KEGG_2021_Human	NOD-like receptor signaling pathway	4/181	5.984239e-05	1.053226e-03	0	0	2.237175e+01	2.175384e+02	STAT1;CCL5;IRF9;GBP4
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	4/193	7.678102e-05	1.126122e-03	0	0	2.093862e+01	1.983841e+02	STAT1;HLA-B;IRF9;HLA-E
KEGG_2021_Human	Human cytomegalovirus infection	4/225	1.388538e-04	1.745590e-03	0	0	1.787783e+01	1.587925e+02	CCL5;HLA-B;TAP1;HLA-E
KEGG_2021_Human	C-type lectin receptor signaling pathway	3/104	2.553306e-04	2.808637e-03	0	0	2.811174e+01	2.325671e+02	STAT1;IRF1;IRF9
KEGG_2021_Human	Phagosome	3/152	7.747292e-04	7.575130e-03	0	0	1.900959e+01	1.361656e+02	HLA-B;TAP1;HLA-E
KEGG_2021_Human	Allograft rejection	2/38	9.449004e-04	8.185942e-03	0	0	5.035354e+01	3.506837e+02	HLA-B;HLA-E
KEGG_2021_Human	Influenza A	3/172	1.107602e-03	8.185942e-03	0	0	1.674303e+01	1.139456e+02	STAT1;CCL5;IRF9
KEGG_2021_Human	Graft-versus-host disease	2/42	1.153885e-03	8.185942e-03	0	0	4.530909e+01	3.064988e+02	HLA-B;HLA-E
