Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	3/65	1.136043e-06	8.570450e-05	0	0	2.411008e+02	3.300178e+03	STAT1;PSMB8;HLA-E
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	3/65	1.136043e-06	8.570450e-05	0	0	2.411008e+02	3.300178e+03	STAT1;PSMB8;HLA-E
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	3/68	1.302847e-06	8.570450e-05	0	0	2.299385e+02	3.115887e+03	STAT1;GBP1;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	3/73	1.615675e-06	8.570450e-05	0	0	2.134607e+02	2.846660e+03	TAP1;PSMB8;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	3/78	1.974758e-06	8.570450e-05	0	0	1.991800e+02	2.616242e+03	TAP1;PSMB8;HLA-E
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	3/121	7.427205e-06	2.686173e-04	0	0	1.263242e+02	1.491934e+03	STAT1;GBP1;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen (GO:0002483)	2/14	9.535772e-06	2.956089e-04	0	0	6.660333e+02	7.699652e+03	TAP1;HLA-E
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	4/621	2.990103e-05	7.369146e-04	0	0	4.187142e+01	4.362005e+02	STAT1;GBP1;PSMB8;HLA-E
GO_Biological_Process_2021	cellular response to tumor necrosis factor (GO:0071356)	3/194	3.056328e-05	7.369146e-04	0	0	7.775654e+01	8.083346e+02	STAT1;GBP1;PSMB8
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	2/33	5.515439e-05	1.196850e-03	0	0	2.575742e+02	2.525611e+03	TAP1;HLA-E
GO_Biological_Process_2021	response to interferon-gamma (GO:0034341)	2/80	3.275172e-04	6.461021e-03	0	0	1.021282e+02	8.194737e+02	STAT1;GBP1
GO_Biological_Process_2021	tumor necrosis factor-mediated signaling pathway (GO:0033209)	2/116	6.871710e-04	1.242634e-02	0	0	6.975088e+01	5.079906e+02	STAT1;PSMB8
GO_Biological_Process_2021	cellular response to interleukin-1 (GO:0071347)	2/155	1.221612e-03	1.734149e-02	0	0	5.186928e+01	3.479175e+02	GBP1;PSMB8
GO_Biological_Process_2021	positive regulation of natural killer cell proliferation (GO:0032819)	1/5	1.748917e-03	1.734149e-02	0	0	8.328750e+02	5.287722e+03	HLA-E
GO_Biological_Process_2021	metanephric mesenchymal cell differentiation (GO:0072162)	1/5	1.748917e-03	1.734149e-02	0	0	8.328750e+02	5.287722e+03	STAT1
GO_Biological_Process_2021	renal tubule development (GO:0061326)	1/5	1.748917e-03	1.734149e-02	0	0	8.328750e+02	5.287722e+03	STAT1
GO_Biological_Process_2021	regulation of natural killer cell mediated immunity (GO:0002715)	1/5	1.748917e-03	1.734149e-02	0	0	8.328750e+02	5.287722e+03	HLA-E
GO_Biological_Process_2021	foam cell differentiation (GO:0090077)	1/6	2.098387e-03	1.734149e-02	0	0	6.662667e+02	4.108591e+03	STAT1
GO_Biological_Process_2021	macrophage derived foam cell differentiation (GO:0010742)	1/6	2.098387e-03	1.734149e-02	0	0	6.662667e+02	4.108591e+03	STAT1
GO_Biological_Process_2021	mesenchymal cell differentiation involved in kidney development (GO:0072161)	1/6	2.098387e-03	1.734149e-02	0	0	6.662667e+02	4.108591e+03	STAT1
GO_Biological_Process_2021	vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990668)	1/6	2.098387e-03	1.734149e-02	0	0	6.662667e+02	4.108591e+03	TAP1
GO_Biological_Process_2021	protection from natural killer cell mediated cytotoxicity (GO:0042270)	1/6	2.098387e-03	1.734149e-02	0	0	6.662667e+02	4.108591e+03	HLA-E
GO_Biological_Process_2021	positive regulation of natural killer cell cytokine production (GO:0002729)	1/7	2.447753e-03	1.734149e-02	0	0	5.551944e+02	3.338154e+03	HLA-E
GO_Biological_Process_2021	regulation by virus of viral protein levels in host cell (GO:0046719)	1/7	2.447753e-03	1.734149e-02	0	0	5.551944e+02	3.338154e+03	STAT1
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	1/7	2.447753e-03	1.734149e-02	0	0	5.551944e+02	3.338154e+03	HLA-E
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	1/7	2.447753e-03	1.734149e-02	0	0	5.551944e+02	3.338154e+03	HLA-E
